Title.,Time.Series,Area.Averaged.of.Sea.Surface.Temperature.at.11.microns..Night..monthly.4.km..MODIS.Aqua...,,
User Start Date:,2002-08-01T00:00:00Z,NA,,
User End Date:,2016-08-31T23:59:59Z,NA,,
Bounding Box:,"1.3184,56.9531,2.9004,58.4473",NA,,
URL to Reproduce Results:,"http://giovanni.sci.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-08-31T23:59:59Z&bbox=1.3184,56.9531,2.9004,58.4473&data=MODISA_L3m_SST_2014_nsst&variableFacets=dataFieldMeasurement%3ASea%20Surface%20Temperature%3B&portal=GIOVANNI&format=json",NA,,
Fill Value (mean_MODISA_L3m_SST_2014_nsst): None,,NA,,
time, mean_MODISA_L3m_SST_2014_nsst,NA,site,Bleached
2002-08-06 12:25:05,17.0890121,NA,site_1,T
2002-08-31 10:25:06,15.3720808,NA,site_1,T
2002-09-30 10:05:05,12.2981157,NA,site_1,T
2002-10-31 10:00:06,8.91641903,NA,site_1,T
2002-11-30 10:10:05,13.8808393,NA,site_1,T
2002-12-31 09:30:05,7.1771903,NA,site_1,T
2003-01-31 10:20:05,6.98297215,NA,site_1,T
2003-02-28 11:10:05,6.51656818,NA,site_1,T
2003-03-31 11:05:05,7.04368877,NA,site_1,T
2003-04-30 09:15:06,9.42726326,NA,site_1,T
2003-05-31 10:55:05,13.2622023,NA,site_1,T
2003-06-30 10:00:05,15.8311815,NA,site_1,T
2003-07-31 10:35:06,16.9868298,NA,site_1,T
2003-08-31 10:00:06,14.8426733,NA,site_1,T
2003-09-30 10:10:06,11.9309664,NA,site_1,T
2003-10-31 10:30:06,9.8909502,NA,site_1,T
2003-11-30 10:45:06,8.39470577,NA,site_1,T
2003-12-31 09:00:05,7.91841316,NA,site_1,T
2004-01-31 11:00:06,7.2422657,NA,site_1,T
2004-02-29 11:25:06,6.69164848,NA,site_1,T
2004-03-31 10:15:05,6.97221756,NA,site_1,T
2004-04-30 10:25:06,8.65696812,NA,site_1,T
2004-05-31 09:00:06,11.5377369,NA,site_1,T
2004-06-30 10:00:06,13.7118006,NA,site_1,T
2004-07-31 10:45:06,16.2597427,NA,site_1,T
2004-08-31 10:10:06,13.887598,NA,site_1,T
2004-09-30 10:20:05,10.7459249,NA,site_1,T
2004-10-31 10:45:05,9.37911224,NA,site_1,T
2004-11-30 10:00:05,8.76187134,NA,site_1,T
2004-12-31 10:10:06,7.11100864,NA,site_1,T
2005-01-31 10:05:05,6.65923357,NA,site_1,T
2005-02-28 11:25:06,6.16224813,NA,site_1,T
2005-03-31 10:00:06,6.77488089,NA,site_1,T
2005-04-30 09:00:06,7.89549065,NA,site_1,T
2005-05-31 10:45:06,11.6366873,NA,site_1,T
2005-06-30 10:50:06,13.8810501,NA,site_1,T
2005-07-31 10:20:06,14.1614103,NA,site_1,T
2005-08-31 10:45:06,13.7919121,NA,site_1,T
2005-09-30 10:00:05,12.2601757,NA,site_1,T
2005-10-31 10:10:06,10.1743803,NA,site_1,T
2005-11-30 10:25:05,8.22444057,NA,site_1,T
2005-12-31 09:15:05,7.1190486,NA,site_1,T
2006-01-31 10:35:07,7.10888672,NA,site_1,T
2006-02-28 10:00:07,6.06008244,NA,site_1,T
2006-03-31 11:20:07,6.27881479,NA,site_1,T
2006-04-30 09:55:07,8.17959499,NA,site_1,T
2006-05-31 10:20:07,11.8410501,NA,site_1,T
2006-06-30 10:30:07,15.6179295,NA,site_1,T
2006-07-31 10:00:08,16.2512226,NA,site_1,T
2006-08-31 10:45:08,14.9353485,NA,site_1,T
2006-09-30 10:25:08,13.3128452,NA,site_1,T
2006-10-31 10:20:08,9.58066654,NA,site_1,T
2006-11-30 11:30:08,8.49036312,NA,site_1,T
2006-12-31 10:50:08,7.84924793,NA,site_1,T
2007-01-31 10:10:07,7.37692308,NA,site_1,T
