Title.,Time.Series,Area.Averaged.of.Sea.Surface.Temperature.at.11.microns..Night..monthly.4.km..MODIS.Aqua...,,
User Start Date:,2002-08-01T00:00:00Z,NA,,
User End Date:,2016-08-31T23:59:59Z,NA,,
Bounding Box:,"-11.1621,47.1094,-9.8437,48.5156",NA,,
URL to Reproduce Results:,"http://giovanni.sci.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-08-31T23:59:59Z&bbox=-11.1621,47.1094,-9.8437,48.5156&data=MODISA_L3m_SST_2014_nsst&variableFacets=dataFieldMeasurement%3ASea%20Surface%20Temperature%3B&portal=GIOVANNI&format=json",NA,,
Fill Value (mean_MODISA_L3m_SST_2014_nsst): None,,NA,,
time, mean_MODISA_L3m_SST_2014_nsst,NA,site,Bleached
2002-08-06 12:25:05,16.4343967,NA,site_1,F
2002-08-31 10:25:06,16.9367485,NA,site_1,F
2002-09-30 10:05:05,15.9031897,NA,site_1,F
2002-10-31 10:00:06,13.7314339,NA,site_1,F
2002-11-30 10:10:05,12.3458443,NA,site_1,F
2002-12-31 09:30:05,11.9494104,NA,site_1,F
2003-01-31 10:20:05,11.3747959,NA,site_1,F
2003-02-28 11:10:05,11.4000769,NA,site_1,F
2003-03-31 11:05:05,11.7645311,NA,site_1,F
2003-04-30 09:15:06,12.4594774,NA,site_1,F
2003-05-31 10:55:05,15.1021204,NA,site_1,F
2003-06-30 10:00:05,16.385376,NA,site_1,F
2003-07-31 10:35:06,18.0830879,NA,site_1,F
2003-08-31 10:00:06,17.8621674,NA,site_1,F
2003-09-30 10:10:06,16.4336586,NA,site_1,F
2003-10-31 10:30:06,14.1410532,NA,site_1,F
2003-11-30 10:45:06,12.0799694,NA,site_1,F
2003-12-31 09:00:05,11.7768154,NA,site_1,F
2004-01-31 11:00:06,11.2296486,NA,site_1,F
2004-02-29 11:25:06,11.4030228,NA,site_1,F
2004-03-31 10:15:05,11.8551064,NA,site_1,F
2004-04-30 10:25:06,12.4907322,NA,site_1,F
2004-05-31 09:00:06,15.7469406,NA,site_1,F
2004-06-30 10:00:06,16.903019,NA,site_1,F
2004-07-31 10:45:06,17.8390923,NA,site_1,F
2004-08-31 10:10:06,16.6071911,NA,site_1,F
2004-09-30 10:20:05,15.1459589,NA,site_1,F
2004-10-31 10:45:05,15.0665178,NA,site_1,F
2004-11-30 10:00:05,12.6630516,NA,site_1,F
2004-12-31 10:10:06,12.0933247,NA,site_1,F
2005-01-31 10:05:05,11.8345184,NA,site_1,F
2005-02-28 11:25:06,11.2025566,NA,site_1,F
2005-03-31 10:00:06,12.1560268,NA,site_1,F
2005-04-30 09:00:06,12.5338173,NA,site_1,F
2005-05-31 10:45:06,15.4751892,NA,site_1,F
2005-06-30 10:50:06,17.0710373,NA,site_1,F
2005-07-31 10:20:06,17.9112988,NA,site_1,F
2005-08-31 10:45:06,17.7615013,NA,site_1,F
2005-09-30 10:00:05,15.9973288,NA,site_1,F
2005-10-31 10:10:06,14.1256809,NA,site_1,F
2005-11-30 10:25:05,12.5981884,NA,site_1,F
2005-12-31 09:15:05,11.6954632,NA,site_1,F
2006-01-31 10:35:07,11.6600647,NA,site_1,F
2006-02-28 10:00:07,11.322464,NA,site_1,F
2006-03-31 11:20:07,11.6301546,NA,site_1,F
2006-04-30 09:55:07,12.7814083,NA,site_1,F
2006-05-31 10:20:07,14.8134661,NA,site_1,F
2006-06-30 10:30:07,17.1595039,NA,site_1,F
2006-07-31 10:00:08,18.1877441,NA,site_1,F
2006-08-31 10:45:08,17.8034458,NA,site_1,F
2006-09-30 10:25:08,16.330267,NA,site_1,F
2006-10-31 10:20:08,14.0674877,NA,site_1,F
2006-11-30 11:30:08,12.6862497,NA,site_1,F
2006-12-31 10:50:08,11.9941931,NA,site_1,F
2007-01-31 10:10:07,11.4428053,NA,site_1,F
